age,income,loan_amount,loan_term,num_of_credit_lines,credit_history_length,num_of_delinquencies,credit_score,savings,employment_length,default
27,718.39,11298.71,22,2,2,1,631,6467.1,6,1
45,5291.23,2510.76,17,2,1,1,537,19539.86,14,0
53,17915.62,4292.49,20,4,3,0,543,28367.21,18,1
50,3883.49,3749.74,28,3,5,3,592,40417.46,8,0
54,43750.41,10495.84,26,4,7,4,547,24060.49,2,0
65,42666.72,6958.28,53,5,8,4,634,65232.85,4,1
75,18235.64,17477.92,23,4,3,1,517,26072.93,1,1
46,1529.42,2766.95,27,4,3,3,633,5.75,11,0
27,2225.67,12548.03,29,2,5,4,622,30464.35,6,1
46,31555.86,6136.93,20,1,2,2,584,14086.26,13,1
60,5451.33,9712.82,26,2,2,2,697,31143.19,10,1
38,3356.81,12178.18,26,3,5,2,640,7414.81,7,0
64,20179.39,15814.56,24,5,2,2,646,39274.94,4,1
71,1980.0,20901.05,53,10,2,1,625,16768.23,7,1
39,342.76,2436.78,21,1,3,1,615,11373.52,4,0
29,2158.44,13489.87,44,4,9,0,552,15809.6,3,1
18,274.06,15037.46,15,4,3,2,603,29547.26,6,0
40,1062.08,7379.35,20,3,4,3,595,17677.8,5,0
48,4204.23,13059.19,16,1,2,6,596,23380.63,0,0
18,1056.27,25650.11,29,1,4,2,631,41787.13,7,0
37,775.46,10027.7,19,1,2,2,548,20825.74,2,0
54,4972.9,8600.62,16,2,3,6,624,19738.16,2,0
39,1771.18,11778.32,12,5,2,2,617,24883.59,1,0
39,1333.87,13112.92,24,1,3,2,613,35509.18,3,0
43,1429.26,5289.45,35,2,3,2,636,1792.59,4,0
46,16106.84,8530.96,21,6,5,1,646,14100.58,1,1
22,753.71,15336.21,32,3,7,1,591,12985.42,7,0
47,2597.54,3017.78,35,2,4,2,572,3853.52,11,0
56,935.5,1522.17,24,5,2,7,579,2652.55,0,0
46,1358.5,1119.58,42,2,3,1,546,7652.09,7,0
42,10195.72,8780.29,35,3,4,1,678,6606.25,4,0
39,1498.21,11119.58,18,3,1,4,562,12411.93,2,0
22,1452.88,18177.37,16,4,3,3,688,23993.43,5,1
36,415.5,10764.62,28,3,2,4,616,16529.96,2,0
44,62784.36,16574.96,42,4,2,1,554,9147.79,4,0
36,396.42,5055.38,14,4,3,2,586,15061.36,5,0
42,3505.8,6597.93,44,3,10,4,605,65654.32,12,1
42,4463.55,8936.44,60,5,4,1,654,24498.6,6,0
51,11579.95,6306.15,47,1,3,0,507,14874.67,3,0
58,943.52,13021.8,30,3,7,2,565,2004.88,2,0
40,2422.89,2835.12,23,3,3,5,562,10699.81,2,1
37,16512.34,12621.44,28,2,4,2,505,14363.58,12,0
49,8072.95,10941.52,45,1,1,2,482,24259.49,4,0
53,987.57,2721.22,38,5,2,5,590,19536.8,4,0
35,1339.26,4951.02,38,5,1,1,613,5058.76,14,0
30,995.96,7373.35,44,4,7,1,682,32593.43,9,1
61,3249.75,1631.59,16,5,4,6,692,20883.83,4,0
37,1297.47,1895.95,56,7,6,1,564,4871.82,7,0
41,634.25,2831.56,33,6,6,1,585,10480.06,7,0
49,2128.56,1471.7,33,3,6,5,619,38036.25,10,0
59,12060.7,12215.08,29,3,3,1,501,58318.68,15,1
45,5317.2,7876.79,52,7,3,0,550,21693.48,1,0
43,4677.47,17378.59,23,4,5,8,612,50136.43,26,1
33,1343.49,8026.23,23,2,1,1,630,9106.25,0,1
39,5478.92,8413.71,19,5,4,0,571,20967.89,14,0
52,358.39,11479.8,41,5,8,2,527,10105.36,12,0
65,2844.14,8861.91,23,8,10,4,578,26140.98,4,0
44,2485.42,3481.93,16,4,2,0,581,25761.85,13,0
33,598.95,10220.22,18,4,4,2,562,23310.77,5,0
49,18296.35,8861.35,40,5,1,0,655,9472.8,0,0
46,392.34,2589.01,48,3,4,4,564,25521.34,4,0
48,1431.16,5805.56,16,3,2,5,575,6735.17,0,0
60,2577.79,3558.37,32,3,1,7,632,17165.96,6,0
25,99.3,9672.12,70,4,5,3,523,23922.42,18,0
63,5882.03,9872.91,26,2,2,2,636,12484.23,3,1
49,3064.15,6063.52,40,5,1,2,572,15552.11,1,0
46,550.31,3301.57,40,3,2,3,617,17700.98,0,0
42,1898.69,2014.72,46,5,3,1,551,3267.17,10,0
37,605.04,3714.1,25,1,1,1,621,2548.27,2,0
47,2043.27,22218.33,85,2,10,1,613,129255.59,29,1
49,8225.05,6963.43,19,4,4,4,628,20512.27,7,0
42,3241.95,7974.27,27,2,2,2,637,4315.95,10,0
49,2370.0,1643.51,38,3,9,1,673,47751.19,5,1
46,18787.05,7957.1,31,3,9,1,573,40369.34,4,0
54,3119.41,5639.9,49,2,4,1,758,20195.76,5,1
18,714.8,11473.01,16,8,3,7,659,20510.88,6,1
52,6289.05,8826.5,23,1,5,4,562,26082.18,2,0
31,2368.71,4418.31,28,4,3,2,587,34572.52,19,1
